Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Longitude,Latitude,location
2022,2385,616892,616892,64-90 Sutton Street NORTH MELBOURNE VIC 3051,North Melbourne,URBAN FOODIES PTY LTD,Part Ground 64 Sutton Street NORTH MELBOURNE VIC 3051,4511,Cafes and Restaurants,Seats - Indoor,28,144.937872014,-37.7916558,"-37.7916558, 144.937872014"
2022,2523,614830,614830,524 Macaulay Road KENSINGTON VIC 3031,Kensington,Melba Social,524 Macaulay Road KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Indoor,80,144.92863306,-37.79404162,"-37.79404162, 144.92863306"
2022,2524,615808,615808,512 Macaulay Road KENSINGTON VIC 3031,Kensington,Argi,512 Macaulay Road KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Indoor,24,144.929138242,-37.79407422,"-37.79407422, 144.929138242"
2022,2524,616034,616034,188 Bellair Street KENSINGTON VIC 3031,Kensington,Fruits of Passion,188 Bellair Street KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Outdoor,33,144.92999325,-37.79392952,"-37.79392952, 144.92999325"
2022,2524,616043,616043,176 Bellair Street KENSINGTON VIC 3031,Kensington,White Rabbit Record Bar,176 Bellair Street KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Outdoor,25,144.929934775,-37.7936563,"-37.7936563, 144.929934775"
2022,2524,616045,616045,174 Bellair Street KENSINGTON VIC 3031,Kensington,Kazbah Egyptian Street Food,174 Bellair Street KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Indoor,18,144.929929281,-37.79360999,"-37.79360999, 144.929929281"
2022,2524,616045,616045,174 Bellair Street KENSINGTON VIC 3031,Kensington,Kazbah Egyptian Street Food,174 Bellair Street KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Outdoor,6,144.929929281,-37.79360999,"-37.79360999, 144.929929281"
2022,2546,615281,615281,169-173 Rankins Road KENSINGTON VIC 3031,Kensington,Luncheonette Cafe,173 Rankins Road KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Outdoor,8,144.93111314,-37.79436218,"-37.79436218, 144.93111314"
2022,2546,615281,615281,169-173 Rankins Road KENSINGTON VIC 3031,Kensington,Luncheonette Cafe,173 Rankins Road KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Indoor,12,144.93111314,-37.79436218,"-37.79436218, 144.93111314"
2023,1,611394,611394,545-557 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Food Hall,11 Gem Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,28,144.956518458,-37.82099397,"-37.82099397, 144.956518458"
2023,1,611394,611394,545-557 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Tokyo Maki,547 Flinders Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,47,144.956518458,-37.82099397,"-37.82099397, 144.956518458"
2023,1,611394,611394,545-557 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Food Hall,11 Gem Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,20,144.956518458,-37.82099397,"-37.82099397, 144.956518458"
