Census year,CLUE small area,Seating type,derived_cuisine,total_establishments,total_seats
2018,Carlton,Seats - Indoor,Cafe / Coffee Shop,37,2105
2018,Carlton,Seats - Indoor,Chinese,7,263
2018,Carlton,Seats - Indoor,Indian,1,28
2018,Carlton,Seats - Indoor,Italian,17,1523
2018,Carlton,Seats - Indoor,Japanese,5,170
2018,Carlton,Seats - Indoor,Korean,1,100
2018,Carlton,Seats - Indoor,Other Cuisines,91,5442
2018,Carlton,Seats - Indoor,Thai,3,108
2018,Carlton,Seats - Indoor,Vietnamese,2,55
2018,Carlton,Seats - Indoor,Western / Pub / Bistro,9,562
2018,Carlton,Seats - Outdoor,Cafe / Coffee Shop,33,907
2018,Carlton,Seats - Outdoor,Chinese,6,84
2018,Carlton,Seats - Outdoor,Indian,1,12
2018,Carlton,Seats - Outdoor,Italian,16,498
2018,Carlton,Seats - Outdoor,Japanese,4,54
2018,Carlton,Seats - Outdoor,Korean,1,30
2018,Carlton,Seats - Outdoor,Other Cuisines,69,1541
2018,Carlton,Seats - Outdoor,Thai,3,56
2018,Carlton,Seats - Outdoor,Vietnamese,2,32
2018,Carlton,Seats - Outdoor,Western / Pub / Bistro,7,182
2018,Docklands,Seats - Indoor,Cafe / Coffee Shop,47,5122
2018,Docklands,Seats - Indoor,Chinese,2,56
2018,Docklands,Seats - Indoor,Italian,6,259
2018,Docklands,Seats - Indoor,Japanese,11,507
2018,Docklands,Seats - Indoor,Mexican,1,38
2018,Docklands,Seats - Indoor,Other Cuisines,96,7183
2018,Docklands,Seats - Indoor,Thai,4,190
2018,Docklands,Seats - Indoor,Vietnamese,3,140
2018,Docklands,Seats - Indoor,Western / Pub / Bistro,7,1204
2018,Docklands,Seats - Outdoor,Cafe / Coffee Shop,31,881
2018,Docklands,Seats - Outdoor,Chinese,2,108
2018,Docklands,Seats - Outdoor,Italian,3,140
2018,Docklands,Seats - Outdoor,Japanese,7,146
2018,Docklands,Seats - Outdoor,Other Cuisines,55,2045
2018,Docklands,Seats - Outdoor,Thai,3,36
2018,Docklands,Seats - Outdoor,Vietnamese,2,48
2018,Docklands,Seats - Outdoor,Western / Pub / Bistro,5,287
2018,East Melbourne,Seats - Indoor,Cafe / Coffee Shop,12,811
2018,East Melbourne,Seats - Indoor,Indian,2,96
2018,East Melbourne,Seats - Indoor,Italian,5,297
2018,East Melbourne,Seats - Indoor,Japanese,1,22
2018,East Melbourne,Seats - Indoor,Other Cuisines,16,4328
2018,East Melbourne,Seats - Indoor,Western / Pub / Bistro,1,46
2018,East Melbourne,Seats - Outdoor,Cafe / Coffee Shop,11,317
2018,East Melbourne,Seats - Outdoor,Italian,3,51
2018,East Melbourne,Seats - Outdoor,Japanese,1,6
2018,East Melbourne,Seats - Outdoor,Other Cuisines,11,375
2018,East Melbourne,Seats - Outdoor,Western / Pub / Bistro,1,30
2018,Kensington,Seats - Indoor,Cafe / Coffee Shop,12,318
2018,Kensington,Seats - Indoor,Greek,1,40
