Trading name,CLUE small area,Seating type,Number of seats,Longitude,Latitude,derived_cuisine
Noulboo Korean chicken & pork,Melbourne (CBD),Seats - Indoor,46,144.956518441,-37.82099397,Korean
The Fresh Collective,Melbourne (CBD),Seats - Outdoor,60,144.969917465,-37.81784465,Other Cuisines
Taxi Kitchen,Melbourne (CBD),Seats - Indoor,160,144.969917465,-37.81784465,Other Cuisines
Mr Huang Jin,Melbourne (CBD),Seats - Indoor,34,144.956601666,-37.81988483,Other Cuisines
Romo Pizza Bar,Melbourne (CBD),Seats - Indoor,25,144.956601666,-37.81988483,Italian
Kebab Kingz Melbourne Pty Ltd,Melbourne (CBD),Seats - Indoor,18,144.956883655,-37.82024345,Middle Eastern
State Of Grace,Melbourne (CBD),Seats - Indoor,174,144.956948504,-37.81975559,Other Cuisines
Stubby Cafe Bar & Restaurant,Melbourne (CBD),Seats - Indoor,50,144.955242109,-37.82050677,Cafe / Coffee Shop
K-Rib By Kass Kass,Melbourne (CBD),Seats - Indoor,56,144.957828786,-37.81999599,Other Cuisines
Upstanding Citizens Flinders,Melbourne (CBD),Seats - Indoor,40,144.958601136,-37.81946849,Other Cuisines
Williams Bar & Café,Melbourne (CBD),Seats - Outdoor,16,144.959510539,-37.81943285,Western / Pub / Bistro
Mokaa,Melbourne (CBD),Seats - Indoor,16,144.959187534,-37.8192157,Other Cuisines
Sergy Girl,Melbourne (CBD),Seats - Indoor,22,144.959187534,-37.8192157,Other Cuisines
Simpsons Burgers,Melbourne (CBD),Seats - Outdoor,14,144.961133901,-37.81848796,Western / Pub / Bistro
Koffi Bar,Melbourne (CBD),Seats - Indoor,36,144.961779888,-37.81822749,Western / Pub / Bistro
Koffi Bar,Melbourne (CBD),Seats - Outdoor,16,144.961779888,-37.81822749,Western / Pub / Bistro
McDonalds,Melbourne (CBD),Seats - Indoor,130,144.964499543,-37.81782922,Other Cuisines
Nando's,Melbourne (CBD),Seats - Indoor,40,144.964368397,-37.81754523,Other Cuisines
Oh! Pho,Melbourne (CBD),Seats - Indoor,73,144.964331538,-37.81741877,Vietnamese
Cuff,Melbourne (CBD),Seats - Indoor,100,144.963490994,-37.81775826,Other Cuisines
Cuff,Melbourne (CBD),Seats - Outdoor,20,144.963490994,-37.81775826,Other Cuisines
Magic Momo Kafe On Flinders,Melbourne (CBD),Seats - Indoor,75,144.963225776,-37.81784765,Other Cuisines
Sal's Authentic New York Pizza,Melbourne (CBD),Seats - Indoor,32,144.96496778,-37.81719024,Italian
Desi Adda,Melbourne (CBD),Seats - Indoor,30,144.96509495,-37.81763649,Other Cuisines
The Journal Cafe,Melbourne (CBD),Seats - Outdoor,14,144.965902771,-37.81706291,Cafe / Coffee Shop
Mock Turtle Degraves,Melbourne (CBD),Seats - Outdoor,12,144.965902771,-37.81706291,Other Cuisines
Cafe Andiamo,Melbourne (CBD),Seats - Outdoor,68,144.965902771,-37.81706291,Cafe / Coffee Shop
Pa Tong,Melbourne (CBD),Seats - Indoor,78,144.965484351,-37.81710105,Other Cuisines
Grill'd,Melbourne (CBD),Seats - Indoor,10,144.965626331,-37.8176078,Western / Pub / Bistro
II Tempo,Melbourne (CBD),Seats - Indoor,45,144.965626331,-37.8176078,Other Cuisines
Kisume,Melbourne (CBD),Seats - Indoor,150,144.968676799,-37.81618641,Other Cuisines
Toffee Cafe,Melbourne (CBD),Seats - Indoor,20,144.968143252,-37.81673488,Cafe / Coffee Shop
Movida Next Door,Melbourne (CBD),Seats - Indoor,30,144.96908618,-37.81670922,Other Cuisines
Movida,Melbourne (CBD),Seats - Indoor,70,144.96908618,-37.81670922,Other Cuisines
Gimlet,Melbourne (CBD),Seats - Indoor,120,144.969247753,-37.81598753,Other Cuisines
Le Petit Cafe,Melbourne (CBD),Seats - Indoor,14,144.97204113,-37.81584246,Cafe / Coffee Shop
The French Brasserie,Melbourne (CBD),Seats - Indoor,85,144.971726206,-37.81546152,Other Cuisines
The Fair Trader Cafe,Melbourne (CBD),Seats - Indoor,100,144.971726206,-37.81546152,Cafe / Coffee Shop
Grill'd,Melbourne (CBD),Seats - Outdoor,36,144.971726206,-37.81546152,Western / Pub / Bistro
